Won,Lost,Draw,GF,GA,PPM,Foreign playing time %,Average age,diversity
14,13,11,48,56,1.394736842105263,66.30859634661917,26.516129032258064,1.04024830991
14,14,10,52,46,1.368421052631579,76.15664990555246,26.08823529411765,1.03797973528
12,12,14,43,48,1.3157894736842106,63.62034441329596,26.51851851851852,1.03957056084
13,16,9,44,52,1.263157894736842,61.039478931277415,24.34285714285714,1.03554680765
12,15,11,44,45,1.236842105263158,59.16025453286829,25.470588235294116,1.03930877159
12,17,9,47,54,1.1842105263157894,74.52088386598076,25.756756756756758,1.06785947948
13,19,6,47,57,1.1842105263157894,56.388297872340424,24.34375,1.03430404188
12,18,8,51,59,1.1578947368421053,64.6810894443407,25.514285714285716,1.04766810625
9,15,14,55,54,1.0789473684210527,63.562569862138716,25.696969696969695,1.03692063147
9,17,12,45,57,1.0263157894736843,57.691385328679154,26.129032258064516,1.03262502895
6,17,15,48,65,0.868421052631579,44.52102366832292,26.871794871794872,1.02547440769
8,21,9,40,79,0.868421052631579,48.81253831596343,23.58823529411765,1.02583349829
7,19,12,38,77,0.868421052631579,65.93853931089531,26.235294117647058,1.03869976388
29,1,8,72,15,2.5,71.66803702623133,23.419354838709676,1.04870326586
25,5,8,87,36,2.1842105263157894,87.2914504669913,22.90625,1.04268390983
22,5,11,58,26,2.026315789473684,62.07557721498762,24.15625,1.0432909164
18,13,7,45,46,1.605263157894737,57.35176388963015,26.24,1.02704488635
17,14,7,52,41,1.5263157894736843,76.7812483371468,23.941176470588236,1.05862885568
16,12,10,49,44,1.5263157894736843,76.9496939047112,27.285714285714285,1.06288382599
14,11,13,53,46,1.4473684210526316,59.134231404078584,24.64516129032258,1.02858250681
13,12,13,47,39,1.368421052631579,52.689545091779735,25.666666666666668,1.02127831635
14,14,10,47,41,1.368421052631579,53.14960629921261,23.27777777777778,1.03755335324
12,15,11,45,52,1.236842105263158,67.76914480336332,23.76923076923077,1.04838336867
12,16,10,42,58,1.2105263157894737,57.34878763655742,25.5,1.03559346811
11,15,12,40,46,1.1842105263157894,59.07903156996587,25.135135135135137,1.03682626622
12,18,8,52,60,1.1578947368421053,73.96886535066602,24.941176470588236,1.05006948076
10,14,14,47,57,1.1578947368421053,55.76011083284489,24.677419354838708,1.02653064469
9,14,15,32,43,1.105263157894737,75.40602006688964,26.085714285714285,1.04415669611
10,19,9,43,59,1.0263157894736843,64.7497139207494,25.21212121212121,1.05174462346
6,16,16,36,61,0.8947368421052632,41.22703972661256,26.137931034482758,1.02416114018
7,19,12,41,62,0.868421052631579,52.4811909716664,24.083333333333332,1.03733982991
7,19,12,42,77,0.868421052631579,34.51676000107178,26.0,1.02514380118
6,18,14,45,66,0.8421052631578947,65.16943734015345,24.878048780487806,1.04010839868
29,5,4,72,22,2.3947368421052633,72.86190793862575,24.214285714285715,1.05659765445
25,5,8,72,34,2.1842105263157894,62.0736444420795,24.862068965517242,1.03891009038
25,6,7,57,25,2.1578947368421053,72.80970796106148,23.764705882352942,1.04320281097
20,11,7,68,31,1.763157894736842,92.69616581965249,23.333333333333332,1.05636961512
18,9,11,53,38,1.7105263157894737,44.7861105184553,24.466666666666665,1.02736449735
19,13,6,51,42,1.6578947368421053,82.11297350763226,26.703703703703702,1.0655618802
17,14,7,47,42,1.5263157894736843,56.859181655397286,25.22222222222222,1.02939671455
15,12,11,49,41,1.4736842105263157,79.3113557018362,25.96551724137931,1.07911982208
16,15,7,52,55,1.4473684210526316,38.753127828355424,24.82758620689655,1.02365567992
15,17,6,45,52,1.3421052631578947,71.23006894348764,27.392857142857142,1.05122557687
14,16,8,34,49,1.3157894736842106,57.84709055465057,26.344827586206897,1.0337968653
14,18,6,48,58,1.263157894736842,80.45371036025242,26.64516129032258,1.06416984276
13,17,8,41,55,1.236842105263158,47.574289061667905,25.0,1.03625339086
12,17,9,48,58,1.1842105263157894,61.65517608539409,24.23076923076923,1.03913765184
13,21,4,43,48,1.131578947368421,48.86342438374417,24.896551724137932,1.03001428839
10,16,12,42,55,1.105263157894737,55.92624173950117,24.166666666666668,1.03583065183
10,20,8,37,62,1.0,66.28194558944766,26.142857142857142,1.06568367901
8,20,10,28,50,0.8947368421052632,50.62299465240642,25.545454545454547,1.03361666576
7,22,9,31,58,0.7894736842105263,37.57294747781597,25.29032258064516,1.02664245898
3,29,6,26,69,0.39473684210526316,64.39412125576806,23.566666666666666,1.03340028266
28,5,5,83,27,2.3421052631578947,57.50904062965326,24.21212121212121,1.04430821418
24,3,11,64,24,2.1842105263157894,71.04013235137154,23.216216216216218,1.04823736856
20,10,8,57,27,1.7894736842105263,72.80435938330675,23.485714285714284,1.04798104154
19,8,11,63,35,1.7894736842105263,98.29274148371435,22.742857142857144,1.06063283578
17,12,9,57,54,1.5789473684210527,51.70218433670751,23.08108108108108,1.04240424997
15,10,13,52,36,1.5263157894736843,54.22559595152484,25.655172413793103,1.03376419414
16,14,8,47,52,1.4736842105263157,78.25045256096263,24.58823529411765,1.06443342972
16,15,7,52,47,1.4473684210526316,60.32507327471356,24.0,1.03521934369
14,12,12,45,42,1.4210526315789473,43.88959795788131,26.275862068965516,1.03628290425
15,16,7,52,54,1.368421052631579,80.17172417471068,26.666666666666668,1.06771949825
11,10,17,43,41,1.3157894736842106,55.27142096860032,25.029411764705884,1.03986104175
12,16,10,44,49,1.2105263157894737,60.91063920378945,23.147058823529413,1.0435415819
11,17,10,38,47,1.131578947368421,53.76881749029203,25.0,1.03278819067
11,18,9,29,44,1.105263157894737,56.56329029681885,24.625,1.04161697342
12,21,5,35,59,1.0789473684210527,40.5493804180184,24.885714285714286,1.02780711096
8,15,15,38,60,1.0263157894736843,68.20775342611849,26.314285714285713,1.05422346605
10,20,8,37,59,1.0,62.34220288772051,26.135135135135137,1.04581030413
10,20,8,32,55,1.0,54.36955305029184,25.658536585365855,1.03019857694
8,20,10,34,60,0.8947368421052632,56.81356294790887,24.7027027027027,1.04485832756
5,20,13,29,59,0.7368421052631579,48.97742081327624,23.073170731707318,1.02637255882
27,5,6,80,22,2.289473684210526,62.19476473251139,24.181818181818183,1.04652749443
25,3,10,65,26,2.236842105263158,68.27048808475436,24.42105263157895,1.05528277613
24,3,11,74,31,2.1842105263157894,96.64817876379927,22.3125,1.05631521216
21,4,13,67,28,2.0,78.52808091562416,22.414634146341463,1.05160335299
19,11,8,55,33,1.7105263157894737,54.266475034600234,24.387096774193548,1.03103006998
